Cutoff,1 Thread,2 Thread,4 Thread,8 Thread,16 Thread
400000,1070,995.6,586.5,482.4,595
800000,1056.2,925.1,437.4,387.7,425.5
1200000,1393.8,1085.7,327.5,372.1,424
1600000,1384.9,1034.1,342.1,358.1,415.6
2000000,1255.8,871,314.1,360.5,386.1
2400000,1620.2,533.8,388.9,387,444.8
2800000,1734.2,551.5,409.4,394.3,445
3200000,1292.2,541.9,399,387.3,416.6
3600000,1022.4,473.1,394.2,389.2,449.9
4000000,1805.5,497.3,391.6,386.4,427.5
4400000,1220.1,516.5,508.8,483.4,504.8
4800000,1586.8,543.4,487.2,512,515.3
5200000,1791.9,519.8,495.1,531.9,527.4
5600000,1416.1,532.9,489.1,508.1,499.5
6000000,967.4,498.8,498.4,498.6,525
6400000,1538.2,492.6,488.7,487.9,489.4
6800000,1714.8,529,489.6,507.4,502.3
7200000,1747.2,492.1,493.8,495.6,503.8
7600000,1787.3,524,492.4,512.9,504.8
8000000,1772.5,498,491.9,495.2,508.1
