Number of Nodes before deletion, Number of Nodes after deletion, BST Simple Deletion Depth, BST Random Deletion Depth, BST Optimized Deletion Depth, Theoretical Height
8,4,3.311,3.309,3.196,2.0
16,8,4.958,4.951,4.727,2.8284271247461903
32,16,6.878,6.862,6.593,4.0
64,32,9.092,9.107,8.767,5.656854249492381
128,64,11.515,11.499,11.106,8.0
256,128,13.986,14.025,13.621,11.313708498984761
512,256,16.521,16.486,16.086,16.0
1024,512,19.291,19.288,18.833,22.627416997969522
2048,1024,21.856,21.827,21.404,32.0
4096,2048,24.837,24.789,24.372,45.254833995939045
